date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:43	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	http://uygunhesap.tk/assets/fontawesome/webfonts/fa-regular-400.eot?	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/fontawesome/webfonts/fa-regular-400d41d.eot	(from http://uygunhesap.tk/assets/fontawesome/css/all.min.css)
21:32:43	13600/13600	---M--	200	added ('OK')	font/woff2	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	http://uygunhesap.tk/assets/fontawesome/webfonts/fa-regular-400.woff2	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/fontawesome/webfonts/fa-regular-400.woff2	(from http://uygunhesap.tk/assets/fontawesome/css/all.min.css)
21:32:46	144322/144322	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	http://uygunhesap.tk/assets/fontawesome/webfonts/fa-regular-400.svg	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/fontawesome/webfonts/fa-regular-400.svg	(from http://uygunhesap.tk/assets/fontawesome/css/all.min.css)
21:32:46	16800/16800	---M--	200	added ('OK')	font/woff	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	http://uygunhesap.tk/assets/fontawesome/webfonts/fa-regular-400.woff	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/fontawesome/webfonts/fa-regular-400.woff	(from http://uygunhesap.tk/assets/fontawesome/css/all.min.css)
21:32:50	34092/34092	---M--	200	added ('OK')	font/ttf	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	http://uygunhesap.tk/assets/fontawesome/webfonts/fa-regular-400.ttf	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/fontawesome/webfonts/fa-regular-400.ttf	(from http://uygunhesap.tk/assets/fontawesome/css/all.min.css)
21:32:50	132728/132728	---M--	200	added ('OK')	font/ttf	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	http://uygunhesap.tk/assets/fontawesome/webfonts/fa-brands-400.ttf	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/fontawesome/webfonts/fa-brands-400.ttf	(from http://uygunhesap.tk/assets/fontawesome/css/all.min.css)
21:32:59	76120/76120	---M--	200	added ('OK')	font/woff2	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	http://uygunhesap.tk/assets/fontawesome/webfonts/fa-solid-900.woff2	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/fontawesome/webfonts/fa-solid-900.woff2	(from http://uygunhesap.tk/assets/fontawesome/css/all.min.css)
21:33:01	849240/849240	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	http://uygunhesap.tk/assets/fontawesome/webfonts/fa-solid-900.svg	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/fontawesome/webfonts/fa-solid-900.svg	(from http://uygunhesap.tk/assets/fontawesome/css/all.min.css)
21:33:04	4384/4384	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jun%202020%2018:33:19%20GMT	http://uygunhesap.tk/reset-password	C:/Users/vestel/Desktop/github/uygunhesap.tk/reset-password.html	(from http://uygunhesap.tk/login)
21:33:09	99004/99004	---M--	200	added ('OK')	font/woff	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	http://uygunhesap.tk/assets/fontawesome/webfonts/fa-solid-900.woff	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/fontawesome/webfonts/fa-solid-900.woff	(from http://uygunhesap.tk/assets/fontawesome/css/all.min.css)
